rank,score,min_cluster_size,min_samples,cluster_selection_epsilon,metric,alpha,algorithm,leaf_size,cluster_selection_method,allow_single_cluster,n_clusters,n_labels
1,0.9073233002115049,11,1,0.1,l1,1.0,auto,10,leaf,False,89,90
2,0.9073233002115049,11,1,0.1,l1,1.0,auto,10,leaf,True,89,90
3,0.9073233002115049,11,1,0.1,l1,1.0,auto,20,leaf,False,89,90
4,0.9073233002115049,11,1,0.1,l1,1.0,auto,20,leaf,True,89,90
5,0.9073233002115049,11,1,0.1,l1,1.0,auto,30,leaf,False,89,90
6,0.9073233002115049,11,1,0.1,l1,1.0,auto,30,leaf,True,89,90
7,0.9073233002115049,11,1,0.1,l1,1.0,auto,40,leaf,False,89,90
8,0.9073233002115049,11,1,0.1,l1,1.0,auto,40,leaf,True,89,90
9,0.9073233002115049,11,1,0.1,l1,1.0,auto,50,leaf,False,89,90
10,0.9073233002115049,11,1,0.1,l1,1.0,auto,50,leaf,True,89,90
11,0.9073233002115049,11,1,0.1,l1,1.0,auto,60,leaf,False,89,90
12,0.9073233002115049,11,1,0.1,l1,1.0,auto,60,leaf,True,89,90
13,0.9073233002115049,13,1,0.1,l1,1.0,auto,10,leaf,False,89,90
14,0.9073233002115049,13,1,0.1,l1,1.0,auto,10,leaf,True,89,90
15,0.9073233002115049,13,1,0.1,l1,1.0,auto,20,leaf,False,89,90
16,0.9073233002115049,13,1,0.1,l1,1.0,auto,20,leaf,True,89,90
17,0.9073233002115049,13,1,0.1,l1,1.0,auto,30,leaf,False,89,90
18,0.9073233002115049,13,1,0.1,l1,1.0,auto,30,leaf,True,89,90
19,0.9073233002115049,13,1,0.1,l1,1.0,auto,40,leaf,False,89,90
20,0.9073233002115049,13,1,0.1,l1,1.0,auto,40,leaf,True,89,90
21,0.9073233002115049,13,1,0.1,l1,1.0,auto,50,leaf,False,89,90
22,0.9073233002115049,13,1,0.1,l1,1.0,auto,50,leaf,True,89,90
23,0.9073233002115049,13,1,0.1,l1,1.0,auto,60,leaf,False,89,90
24,0.9073233002115049,13,1,0.1,l1,1.0,auto,60,leaf,True,89,90
25,0.9053752910253253,11,1,0.1,l1,1.0,auto,10,eom,False,88,89
26,0.9053752910253253,11,1,0.1,l1,1.0,auto,10,eom,True,88,89
27,0.9053752910253253,11,1,0.1,l1,1.0,auto,20,eom,False,88,89
28,0.9053752910253253,11,1,0.1,l1,1.0,auto,20,eom,True,88,89
29,0.9053752910253253,11,1,0.1,l1,1.0,auto,30,eom,False,88,89
30,0.9053752910253253,11,1,0.1,l1,1.0,auto,30,eom,True,88,89
31,0.9053752910253253,11,1,0.1,l1,1.0,auto,40,eom,False,88,89
32,0.9053752910253253,11,1,0.1,l1,1.0,auto,40,eom,True,88,89
33,0.9053752910253253,11,1,0.1,l1,1.0,auto,50,eom,False,88,89
34,0.9053752910253253,11,1,0.1,l1,1.0,auto,50,eom,True,88,89
35,0.9053752910253253,11,1,0.1,l1,1.0,auto,60,eom,False,88,89
36,0.9053752910253253,11,1,0.1,l1,1.0,auto,60,eom,True,88,89
37,0.9053752910253253,13,1,0.1,l1,1.0,auto,10,eom,False,88,89
38,0.9053752910253253,13,1,0.1,l1,1.0,auto,10,eom,True,88,89
39,0.9053752910253253,13,1,0.1,l1,1.0,auto,20,eom,False,88,89
40,0.9053752910253253,13,1,0.1,l1,1.0,auto,20,eom,True,88,89
41,0.9053752910253253,13,1,0.1,l1,1.0,auto,30,eom,True,88,89
42,0.9053752910253253,13,1,0.1,l1,1.0,auto,30,eom,False,88,89
43,0.9053752910253253,13,1,0.1,l1,1.0,auto,40,eom,False,88,89
44,0.9053752910253253,13,1,0.1,l1,1.0,auto,40,eom,True,88,89
45,0.9053752910253253,13,1,0.1,l1,1.0,auto,50,eom,False,88,89
46,0.9053752910253253,13,1,0.1,l1,1.0,auto,50,eom,True,88,89
47,0.9053752910253253,13,1,0.1,l1,1.0,auto,60,eom,False,88,89
48,0.9053752910253253,13,1,0.1,l1,1.0,auto,60,eom,True,88,89
49,0.905099523111465,9,3,0.1,l1,1.0,auto,10,leaf,False,92,93
50,0.905099523111465,9,3,0.1,l1,1.0,auto,10,leaf,True,92,93
51,0.905099523111465,9,3,0.1,l1,1.0,auto,20,leaf,False,92,93
52,0.905099523111465,9,3,0.1,l1,1.0,auto,20,leaf,True,92,93
53,0.905099523111465,9,3,0.1,l1,1.0,auto,30,leaf,False,92,93
54,0.905099523111465,9,3,0.1,l1,1.0,auto,30,leaf,True,92,93
55,0.905099523111465,9,3,0.1,l1,1.0,auto,40,leaf,False,92,93
56,0.905099523111465,9,3,0.1,l1,1.0,auto,40,leaf,True,92,93
57,0.905099523111465,9,3,0.1,l1,1.0,auto,50,leaf,False,92,93
58,0.905099523111465,9,3,0.1,l1,1.0,auto,50,leaf,True,92,93
59,0.905099523111465,9,3,0.1,l1,1.0,auto,60,leaf,False,92,93
